,INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
7277,7474,1992,NC0680400,University of North Carolina:,Chapel Hill,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",20-NOV-92,,,0,,,Unknown,,1,Intimidation,1.0,Hotel/Motel/Etc.,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
14709,14462,1993,NC0320200,North Carolina Central University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",24-FEB-93,,,7,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
14710,14463,1993,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",10-SEP-93,,,2,,,White,,1,Aggravated Assault,1.0,Hotel/Motel/Etc.,Anti-Black or African American,Individual,S,S
14711,14464,1993,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",27-JAN-93,,,14,,,Black or African American,,1,Aggravated Assault,1.0,School/College,Anti-White,Individual,S,S
14712,14465,1993,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",25-JUN-93,,,1,,,Black or African American,,8,Aggravated Assault;Destruction/Damage/Vandalism of Property,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Government;Individual,M,S
14713,14466,1993,NC0430000,Harnett,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",08-JUL-93,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Residence/Home,Anti-White,Individual,S,S
14714,14467,1993,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",31-MAR-93,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
14715,14468,1993,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",14-NOV-93,,,2,,,Black or African American,,4,Aggravated Assault;Simple Assault,4.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
14716,14469,1993,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",10-JAN-93,,,2,,,White,,2,Aggravated Assault,2.0,Bar/Nightclub,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
14717,14470,1993,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",12-NOV-93,,,1,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,M,S
14718,14471,1993,NC0920100,Raleigh,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",15-NOV-93,,,2,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
21154,21393,1994,NC0280000,Dare,,County,NC,North Carolina,South Atlantic,South,8C,"Non-MSA counties from 10,000 thru 24,999",12-MAR-94,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
21155,21394,1994,NC0340000,Forsyth,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",23-JUN-94,,,2,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
21156,21395,1994,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",30-JUL-94,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Service/Gas Station,Anti-White,Individual,S,S
21157,21396,1994,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",22-JUL-94,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Commercial/Office Building,Anti-Black or African American,Individual,S,S
21158,21397,1994,NC0410200,Greensboro,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",08-JAN-94,,,3,,,Black or African American,,3,Aggravated Assault,3.0,Specialty Store,Anti-White,Individual,S,S
21159,21398,1994,NC0500200,Western Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",09-APR-94,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
21160,21399,1994,NC0950000,Watauga,,County,NC,North Carolina,South Atlantic,South,8C,"Non-MSA counties from 10,000 thru 24,999",01-NOV-94,,,4,,,White,,1,Arson,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
29319,28312,1995,NC0020100,Taylorsville,,City,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",24-JUL-95,,,1,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Grocery/Supermarket,Anti-White,Individual,S,S
29320,28313,1995,NC0070100,Washington,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",17-JUL-95,,,1,,,Black or African American,,2,Simple Assault,2.0,Other/Unknown,Anti-White,Individual,S,S
29321,28314,1995,NC0130100,Concord,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",18-SEP-95,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
29322,28315,1995,NC0210100,Edenton,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",30-NOV-95,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Jewish,Individual,S,S
29323,28316,1995,NC0260100,Fayetteville,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",07-DEC-95,,,3,,,White,,2,Murder and Nonnegligent Manslaughter,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29324,28317,1995,NC0280100,Kill Devil Hills,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",26-OCT-95,,,1,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Jewish,Individual,S,S
29325,28318,1995,NC0320000,Durham,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",20-SEP-95,,,3,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
29326,28319,1995,NC0320100,Durham,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",18-JUN-95,,,2,,,White,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
29327,28320,1995,NC0320100,Durham,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",24-OCT-95,,,1,,,White,,3,Aggravated Assault,3.0,Restaurant,Anti-Black or African American,Individual,S,S
29328,28321,1995,NC0330000,Edgecombe,,County,NC,North Carolina,South Atlantic,South,9C,"MSA counties from 10,000 thru 24,999",14-JAN-95,,,1,,,White,,1,Intimidation,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
29329,28322,1995,NC0340000,Forsyth,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",12-MAY-95,,,1,,,White,,1,Aggravated Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29330,28323,1995,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",27-MAR-95,,,2,,,Black or African American,,1,Aggravated Assault,1.0,Department/Discount Store,Anti-White,Individual,S,S
29331,28324,1995,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",20-APR-95,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
29332,28325,1995,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",21-JUL-95,,,1,,,White,,1,Simple Assault,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
29333,28326,1995,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",20-OCT-95,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29334,28327,1995,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",18-NOV-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Individual,S,S
29335,28328,1995,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",04-SEP-95,,,1,,,White,,1,Simple Assault,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29336,28329,1995,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",21-DEC-95,,,0,,,Unknown,,3,Burglary/Breaking & Entering;Destruction/Damage/Vandalism of Property;Not Specified,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization,M,S
29337,28330,1995,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",14-DEC-95,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual;Other,M,S
29338,28331,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",26-MAR-95,,,1,,,White,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29339,28332,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",24-MAR-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Jewish,Business,S,S
29340,28333,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",22-MAR-95,,,12,,,Black or African American,,1,Aggravated Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
29341,28334,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",04-JUN-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29342,28335,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",04-SEP-95,,,2,,,White,,1,Aggravated Assault,1.0,Field/Woods,Anti-Black or African American,Individual,S,S
29343,28336,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",08-SEP-95,,,0,,,Unknown,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
29344,28337,1995,NC0360600,Gastonia,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",20-SEP-95,,,3,,,Black or African American,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
29345,28338,1995,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",28-FEB-95,,,1,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
29346,28339,1995,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",06-MAY-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29347,28340,1995,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",02-JUN-95,,,1,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,School/College,Anti-Black or African American,Individual;Other,M,S
29348,28341,1995,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",22-AUG-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Society/Public,S,S
29349,28342,1995,NC0410000,Guilford,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",13-SEP-95,,,2,,,Unknown,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
29350,28343,1995,NC0410200,Greensboro,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",04-APR-95,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29351,28344,1995,NC0410200,Greensboro,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",23-OCT-95,,,3,,,Black or African American,,2,Aggravated Assault;Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual;Other,M,S
29352,28352,1995,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",05-JUL-95,,,1,,,Black or African American,,1,Simple Assault,1.0,Restaurant,Anti-White,Individual,S,S
29353,28353,1995,NC0410300,High Point,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",19-OCT-95,,,1,,,White,,1,Simple Assault,1.0,School/College,Anti-Black or African American,Individual,S,S
29354,28354,1995,NC0430000,Harnett,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",25-OCT-95,,,2,,,Multiple,,2,Aggravated Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29355,28355,1995,NC0500200,Western Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",01-OCT-95,,,1,,,Unknown,,1,Intimidation,1.0,School/College,Anti-Asian,Individual,S,S
29356,28356,1995,NC0500200,Western Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",16-OCT-95,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
29357,28357,1995,NC0550100,Lincolnton,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",17-JUL-95,,,1,,,White,,2,Intimidation,2.0,Grocery/Supermarket,Anti-Black or African American,Individual,S,S
29358,28358,1995,NC0600800,University of North Carolina:,Charlotte,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",12-NOV-95,,,0,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29359,28359,1995,NC0630400,Southern Pines,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",22-APR-95,,,1,,,White,,1,Simple Assault,1.0,Restaurant,Anti-Black or African American,Individual,S,S
29360,28360,1995,NC0630400,Southern Pines,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",16-SEP-95,,,1,,,White,,1,Simple Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
29361,28361,1995,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",14-FEB-95,,,1,,,White,,2,Robbery;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,M,S
29362,28362,1995,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",14-FEB-95,,,1,,,White,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29363,28363,1995,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",22-MAY-95,,,1,,,White,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
29364,28364,1995,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",12-JUN-95,,,4,,,Black or African American,,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
29365,28365,1995,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",09-JUL-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
29366,28366,1995,NC0680400,University of North Carolina:,Chapel Hill,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",12-NOV-95,,,1,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
29367,28367,1995,NC0920300,Cary,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",18-MAY-95,,,1,,,White,,1,Intimidation,1.0,School/College,Anti-Black or African American,Individual,S,S
29368,28368,1995,NC0920300,Cary,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",14-AUG-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29369,28369,1995,NC0920300,Cary,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",27-SEP-95,,,2,,,White,,3,Destruction/Damage/Vandalism of Property,3.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
29370,28370,1995,NC0920300,Cary,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",20-OCT-95,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Other Religion,Religious Organization,S,S
38116,36746,1996,NC0120100,Morganton,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",26-APR-96,,,4,,,Black or African American,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-White,Individual,S,S
38117,36747,1996,NC0130000,Cabarrus,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",19-OCT-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
38118,36748,1996,NC0130000,Cabarrus,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",30-DEC-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Society/Public,S,S
38119,36749,1996,NC0130000,Cabarrus,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",28-DEC-96,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
38120,36750,1996,NC0320000,Durham,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",31-MAR-96,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Jewish,Individual,S,S
38121,36751,1996,NC0320000,Durham,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",05-APR-96,,,1,,,White,,2,Aggravated Assault;Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,M,S
38122,36752,1996,NC0340000,Forsyth,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",09-MAR-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government,S,S
38123,36753,1996,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",12-JUL-96,,,0,,,Unknown,,1,Intimidation,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
38124,36754,1996,NC0340200,Winston-Salem,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",30-OCT-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38125,36755,1996,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",21-APR-96,,,2,,,White,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,M,S
38126,36756,1996,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",27-JUN-96,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38127,36757,1996,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",12-JUL-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Religious Organization,S,S
38128,36758,1996,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",09-NOV-96,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Intimidation,1.0,Church/Synagogue/Temple/Mosque,Anti-Black or African American,Individual;Religious Organization,M,S
38129,36759,1996,NC0360500,Gaston County Police Department,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",07-FEB-96,,,3,,,White,,1,Aggravated Assault,1.0,Parking/Drop Lot/Garage,Anti-Black or African American,Individual,S,S
38130,36760,1996,NC0410200,Greensboro,,City,NC,North Carolina,South Atlantic,South,2,"Cities from 100,000 thru 249,999",06-NOV-96,,,1,,,White,,1,Arson,0.0,Service/Gas Station,Anti-Black or African American,Business,S,S
38131,36761,1996,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",21-SEP-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Arab,Business,S,S
38132,36762,1996,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",20-OCT-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,Commercial/Office Building,Anti-Arab,Business,S,S
38133,36763,1996,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38134,36764,1996,NC0490000,Iredell,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",04-NOV-96,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
38135,36784,1996,NC0500200,Western Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",24-APR-96,,,2,,,Black or African American,,1,Simple Assault,1.0,School/College,Anti-White,Individual,S,S
38136,36785,1996,NC0510000,Johnston,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",26-JAN-96,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property,2.0,Residence/Home,Anti-Black or African American,Individual,S,S
38137,36786,1996,NC0510000,Johnston,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",01-MAY-96,,,0,,,Unknown,,2,Intimidation,2.0,Residence/Home,Anti-Other Religion,Individual,S,S
38138,36787,1996,NC0510000,Johnston,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",27-JUN-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,"Anti-Multiple Races, Group",Individual,S,S
38139,36788,1996,NC0550000,Lincoln,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",03-JUL-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38140,36789,1996,NC0550000,Lincoln,,County,NC,North Carolina,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",19-JUL-96,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
38141,36790,1996,NC0630400,Southern Pines,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",19-JAN-96,,,3,,,Black or African American,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-White,Individual,S,S
38142,36791,1996,NC0650100,Carolina Beach,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",24-FEB-96,,,1,,,White,,1,Arson,1.0,Bar/Nightclub,Anti-Black or African American,Individual,S,S
38143,36792,1996,NC0680100,Chapel Hill,,City,NC,North Carolina,South Atlantic,South,4,"Cities from 25,000 thru 49,999",31-JUL-96,,,1,,,White,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
38144,36793,1996,NC0740100,Ayden,,City,NC,North Carolina,South Atlantic,South,6,"Cities from 2,500 thru 9,999",31-OCT-96,,,1,,,Black or African American,,2,Aggravated Assault;Simple Assault,2.0,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,M,S
38145,36794,1996,NC0740900,East Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",25-OCT-96,,,1,,,Unknown,,1,Intimidation,1.0,Residence/Home,Anti-Gay (Male),Individual,S,S
38146,36795,1996,NC0740900,East Carolina University,,University or College,NC,North Carolina,South Atlantic,South,7,"Cities under 2,500",18-FEB-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,School/College,Anti-Black or African American,Individual,S,S
38147,36796,1996,NC0920300,Cary,,City,NC,North Carolina,South Atlantic,South,3,"Cities from 50,000 thru 99,999",08-MAY-96,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Government,S,S
38148,36797,1996,NC0950000,Watauga,,County,NC,North Carolina,South Atlantic,South,8C,"Non-MSA counties from 10,000 thru 24,999",19-MAY-96,,,0,,,Unknown,,1,Intimidation,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
38149,36798,1996,NC0970000,Wilkes,,County,NC,North Carolina,South Atlantic,South,8B,"Non-MSA counties from 25,000 thru 99,999",01-MAR-96,,,2,,,White,,1,Robbery,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Hispanic or Latino,Individual,S,S
46479,45209,1997,NC0110000,Buncombe,,County,NC,North Carolina,South Atlantic,South,9A,"MSA counties 100,000 or over",22-JUN-97,,,2,,,White,,1,Destruction/Damage/Vandalism of Property,0.0,Church/Synagogue/Temple/Mosque,Anti-Protestant,Religious Organization,S,S
46480,45210,1997,NC0120100,Morganton,,City,NC,North Carolina,South Atlantic,South,5,"Cities from 10,000 thru 24,999",15-JUL-97,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1.0,Residence/Home,Anti-Black or African American,Individual,S,S
